求和项:pnl,列标签,,,,,,,,,,
行标签,Cn.Id807035.All_AN,Cn.Id807035.All_BN,Cn.Id807035.All_CN,Cn.Id807035.All_MN,CnCom.Id807035.CalArbAll2,CnCom.Id807035.CalArbAll2N,Id807035.MFA_T0_A,Id807035.MFA_T0_B,Id807035.MFA_T0_C,Id807035.MFA_T0_M,总计
2019/3/25,9130.4,12496.5364,5469.97395,-15030.97976,-37195.58935,41744.145,18627.4375,-15907.03354,310.655995,-58671.66263,-39026.11644
2019/3/26,10470.4,12236.5364,3697.05875,-13346.17976,-43976.2828,46790.145,18349.5225,-20302.41194,-3523.591205,-55873.90491,-45478.70796
2019/3/27,10140.075,9321.86186,7867.05875,-12351.17976,-49944.3578,49550.145,22969.1825,-15568.33325,3925.584205,-62532.97411,-36622.9376
2019/3/28,11504.85,8996.167235,12765.58875,-13258.14146,-51884.0968,37630.645,17981.9875,-17313.2988,5678.149193,-60177.49461,-48075.644
2019/3/29,10172.85,2329.396885,15224.11875,-12728.14146,-58361.0326,37096.645,21164.9675,-16961.84225,8682.736236,-59264.30961,-52644.61155
2019/4/1,9552.85,1540.477385,13860.6229,-14063.27336,-61481.6498,38596.645,22279.6025,-23266.42417,4001.317528,-60901.60635,-69881.43837
2019/4/2,5612.575,5723.738135,10019.16608,-16702.92336,-59543.3998,31848.395,23658.7125,-13580.10267,5764.861096,-61550.50635,-68749.48438
2019/4/3,5297.45,6614.998185,10849.16608,-16995.52336,-61264.8998,34898.145,19229.4175,-8503.24606,9351.736803,-60728.71425,-61251.46991
2019/4/4,8527.45,7314.998185,7439.166075,-19310.52336,-53657.8998,32838.145,23990.4925,-13220.24829,4245.682255,-60636.62155,-62469.35898
2019/4/8,7977.45,9451.787385,6280.2639,-17843.25536,-51561.0188,33115.395,21573.4425,-11228.74205,6627.620456,-66416.51685,-62023.57382
2019/4/9,10643.4,10840.01713,6196.4539,-17567.35536,-55521.63005,39812.77,21115.4175,-8682.522845,10053.63429,-64469.60527,-47579.42072
2019/4/10,7486.2125,13740.01713,2785.608238,-20521.41929,-57381.98665,40390.145,14404.9325,-5654.654005,14713.90758,-65344.92262,-55382.15963
2019/4/11,7416.2125,17540.01713,2552.018338,-18387.27258,-58439.86,38890.145,7395.3125,-1612.382695,9855.166599,-64562.72262,-59353.36584
2019/4/12,10786.2125,16800.01713,2177.790488,-19032.27258,-62790.5687,45947.52,3827.9025,-16346.12676,13182.69203,-68775.01892,-74221.85232
2019/4/15,7906.9625,13986.6507,2557.790488,-17252.27258,-53142.2287,42783.145,2875.2775,-12279.68091,10544.39359,-67923.45027,-69943.41269
2019/4/16,7502.4625,18316.6507,6067.790488,-19504.58668,-58386.8037,45435.27,3092.2175,-4966.743905,9284.019399,-67101.39632,-60261.12003
2019/4/17,8272.4625,22236.6507,2937.23305,-17636.08668,-57778.1991,44092.645,-2344.0325,-8267.768765,11646.81456,-64359.30517,-61199.58642
2019/4/18,5359.5125,19466.6507,3792.61305,-14086.08668,-57539.5919,52342.145,-3547.7575,-8874.170865,23899.22486,-56682.10517,-35869.56602
2019/4/19,5329.5125,18131.5612,7361.14305,-17114.98668,-58342.5919,42972.395,-5149.0825,-12735.45783,22387.2548,-57286.37869,-54446.63106
2019/4/22,3922.2625,20091.5612,7301.14305,-13904.98668,-60760.9573,43689.645,-12714.0525,-15291.9573,23674.74325,-64319.03999,-68311.63878
